Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Requested Quantity 2,Pack Quantity 2,Pack Type 2,Digi-Key Part Number 2,Unit Price 2,Extended Price 2,Minimum Order Quantity 2,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
9,"PRTR5V0U2X,215",Nexperia USA Inc.,TVS DIODE 5.5VWM SOT143B,"54,478",In Stock,,1,1,Cut Tape (CT),1727-3884-1-ND,0.85000,$0.85,1,531,531,Cut Tape (CT),1727-3884-1-ND,0.42392,$225.10,1,,1727-3884-1-ND,6,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8541.10.0080,China,,1727-3884-1-ND,https://media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg
10,B0540W-7-F,Diodes Incorporated,DIODE SCHOTTKY 40V 500MA SOD123,0,Normally Stocking,,3,3,Cut Tape (CT),B0540W-FDICT-ND,0.51000,$1.53,1,,,,,,,,,B0540W-FDICT-ND,52,https://www.diodes.com/assets/Datasheets/B0540W.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8541.10.0070,China,https://www.diodes.com/assets/Quality-Reliability-Docs/Master_CofC.pdf,B0540W-FDICT-ND,https://media.digikey.com/Renders/Diodes%20Renders/31;%20SOD-123;%20;%202.jpg
11,LG R971-KN-1,ams-OSRAM USA Inc.,LED GREEN DIFFUSED 0805 SMD,"455,580",In Stock,,5,5,Cut Tape (CT),475-1410-1-ND,0.48000,$2.40,1,283121,280000,Tape & Reel (TR),475-1410-2-ND,0.05078,"$14,218.40",4000,,475-1410-1-ND,14,https://dammedia.osram.info/media/resource/hires/osram-dam-14795755/LG%20R971_EN.pdf,,-,,Active,ROHS3 Compliant,EAR99,8541.41.0000,Taiwan,,475-1410-1-ND,https://media.digikey.com/Renders/Osram%20Opto%20Renders/Chippled%200805.jpg
11,LG R971-KN-1,ams-OSRAM USA Inc.,LED GREEN DIFFUSED 0805 SMD,,,,,,,,,,,,3121,Cut Tape (CT),475-1410-1-ND,0.08651,$270.00,1,,475-1410-1-ND,,,,,,,,,,,,,
12,LO R976-PS-1,ams-OSRAM USA Inc.,LED ORANGE DIFFUSED 0805 SMD,"20,457",In Stock,,3,3,Cut Tape (CT),475-2488-1-ND,0.48000,$1.44,1,4307,4000,Tape & Reel (TR),475-2488-2-ND,0.08651,$346.04,4000,,475-2488-2-ND,14,https://dammedia.osram.info/media/resource/hires/osram-dam-5178064/LO%20R976_EN.pdf,,-,,Active,ROHS3 Compliant,EAR99,8541.41.0000,Taiwan,,475-2488-2-ND,https://media.digikey.com/Renders/Osram%20Opto%20Renders/Chippled%200805.jpg
12,LO R976-PS-1,ams-OSRAM USA Inc.,LED ORANGE DIFFUSED 0805 SMD,,,,,,,,,,,,307,Cut Tape (CT),475-2488-1-ND,0.12220,$37.52,1,,475-2488-2-ND,,,,,,,,,,,,,
13,MF-MSMF050-2,Bourns Inc.,PTC RESET FUSE 15V 500MA 1812,"56,234",In Stock,,2,2,Cut Tape (CT),MF-MSMF050-2CT-ND,0.51000,$1.02,1,11326,10000,Tape & Reel (TR),MF-MSMF050-2TR-ND,0.20382,"$2,038.20",2000,,MF-MSMF050-2CT-ND,15,https://www.bourns.com/docs/product-datasheets/mf-msmf.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8533.40.8070,China,https://www.bourns.com/docs/rohs-cofc/cofc_mf_1.pdf?sfvrsn=ea2cc11f_18|https://www.bourns.com/docs/Product-MDS/ms-msmf.pdf,MF-MSMF050-2CT-ND,https://media.digikey.com/Photos/Bourns%20Photos/MF-MSMF260-2.jpg
13,MF-MSMF050-2,Bourns Inc.,PTC RESET FUSE 15V 500MA 1812,,,,,,,,,,,,1326,Cut Tape (CT),MF-MSMF050-2CT-ND,0.27661,$366.78,1,,MF-MSMF050-2CT-ND,,,,,,,,,,,,,
14,DF13A-4P-1.25H(51),Hirose Electric Co Ltd,CONN HEADER SMD R/A 4POS 1.25MM,0,Normally Stocking,,1,1,Cut Tape (CT),H125779CT-ND,1.41000,$1.41,1,52,52,Cut Tape (CT),H125779CT-ND,1.18800,$61.78,1,,H125779CT-ND,28,https://www.hirose.com/product/document?clcode=CL0536-0109-0-76&productname=DF13-10P-1.25DSA(76)&series=DF13&documenttype=Catalog&lang=en&documentid=D31687_en,,-,,Active,RoHS Compliant,EAR99,8536.69.4040,Japan,,H125779CT-ND,https://media.digikey.com/photos/Hirose%20Elect%20Photos/DF13A-4P-1.25H(50).jpg
15,0475890001,Molex,CONN RCPT MICRO USB AB 5P SMD RA,"80,052",In Stock,,1,1,Cut Tape (CT),WM17143CT-ND,1.38000,$1.38,1,16302,15000,Tape & Reel (TR),WM17143TR-ND,0.61973,"$9,295.95",1500,,WM17143CT-ND,14,https://www.molex.com/pdm_docs/sd/475890001_sd.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8536.69.4040,China,https://www.molex.com/datasheets/rohspdf/0475890001_rohs.pdf,WM17143CT-ND,https://media.digikey.com/Photos/Molex/47589-0001.JPG
15,0475890001,Molex,CONN RCPT MICRO USB AB 5P SMD RA,,,,,,,,,,,,1302,Cut Tape (CT),WM17143CT-ND,0.95340,"$1,241.33",1,,WM17143CT-ND,,,,,,,,,,,,,
16,BLM18PG471SN1D,Murata Electronics,FERRITE BEAD 470 OHM 0603 1LN,0,Normally Stocking,,1,1,Cut Tape (CT),490-5223-1-ND,0.16000,$0.16,1,,,,,,,,,490-5223-1-ND,21,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,,-,,Active,ROHS3 Compliant,EAR99,8548.00.0000,Japan,,490-5223-1-ND,https://media.digikey.com/Renders/Murata%20Renders/0603(LQG18).jpg
17,BLM21BD152SN1D,Murata Electronics,FERRITE BEAD 1.5 KOHM 0805 1LN,0,Normally Stocking,,1,1,Cut Tape (CT),490-1048-1-ND,0.35000,$0.35,1,13310,12000,Tape & Reel (TR),490-1048-2-ND,0.08168,$980.16,4000,,490-1048-1-ND,23,https://www.murata.com/en-us/products/en-us/products/productdata/8796738977822/ENFA0005.pdf,,-,,Active,ROHS3 Compliant,EAR99,8548.00.0000,Japan,,490-1048-1-ND,https://media.digikey.com/Renders/Murata%20Renders/0805-(2012-Metric).jpg
17,BLM21BD152SN1D,Murata Electronics,FERRITE BEAD 1.5 KOHM 0805 1LN,,,,,,,,,,,,1310,Cut Tape (CT),490-1048-1-ND,0.09536,$124.92,1,,490-1048-1-ND,,,,,,,,,,,,,
18,2N7002DW-7-F,Diodes Incorporated,MOSFET 2N-CH 60V 0.23A SOT-363,0,Normally Stocking,,1,1,Cut Tape (CT),2N7002DW-FDICT-ND,0.59000,$0.59,1,,,,,,,,,2N7002DW-FDICT-ND,52,https://www.diodes.com/assets/Datasheets/2N7002DW.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8541.21.0095,China,https://www.diodes.com/assets/Quality-Reliability-Docs/Master_CofC.pdf,2N7002DW-FDICT-ND,https://media.digikey.com/Renders/Diodes%20Renders/31;%20SOT363;%20;%206.jpg
19,ERJ-3GEYJ105V,Panasonic Electronic Components,RES SMD 1M OHM 5% 1/10W 0603,"1,095",In Stock,,1,1,Cut Tape (CT),P1.0MGCT-ND,0.16000,$0.16,1,263582,260000,Tape & Reel (TR),P1.0MGTR-ND,0.00613,"$1,593.80",5000,,P1.0MGCT-ND,43,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3GEYJ105V,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8533.21.0030,China,https://industrial.panasonic.com/cdbs/www-cgi/auto-publishing.cgi?type=ROSU&region=WW&layer=4&cd=AOA0002,P1.0MGCT-ND,https://media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg
19,ERJ-3GEYJ105V,Panasonic Electronic Components,RES SMD 1M OHM 5% 1/10W 0603,,,,,,,,,,,,3582,Cut Tape (CT),P1.0MGCT-ND,0.01082,$38.76,1,,P1.0MGCT-ND,,,,,,,,,,,,,
20,RT0603FRE0710KL,YAGEO,RES SMD 10K OHM 1% 1/10W 0603,"287,593",In Stock,,17,17,Cut Tape (CT),YAG2321CT-ND,0.09400,$1.60,1,129389,125000,Tape & Reel (TR),YAG2321TR-ND,0.00844,"$1,055.00",5000,,YAG2321CT-ND,20,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_12.pdf,,-,,Active,ROHS3 Compliant,EAR99,8533.21.0030,Taiwan,,YAG2321CT-ND,https://media.digikey.com/Renders/Yageo%20Renders/RT-Series-Chip-Resistor.jpg
20,RT0603FRE0710KL,YAGEO,RES SMD 10K OHM 1% 1/10W 0603,,,,,,,,,,,,4389,Cut Tape (CT),YAG2321CT-ND,0.01489,$65.36,1,,YAG2321CT-ND,,,,,,,,,,,,,
21,CRCW0603270RFKEA,Vishay Dale,RES SMD 270 OHM 1% 1/10W 0603,"14,029",In Stock,,9,9,Cut Tape (CT),541-270HCT-ND,0.16000,$1.44,1,,,,,,,,,541-270HCT-ND,99,https://www.vishay.com/docs/20035/dcrcwe3.pdf,,-,,Active,ROHS3 Compliant,EAR99,8533.21.0030,Israel,,541-270HCT-ND,https://media.digikey.com/Renders/Vishay%20Dale%20Renders/CRCW%200603%20%281608metric%29.jpg
22,RT0603FRE07100KL,YAGEO,RES SMD 100K OHM 1% 1/10W 0603,"59,839",In Stock,,3,3,Cut Tape (CT),YAG2319CT-ND,0.16000,$0.48,1,84,84,Cut Tape (CT),YAG2319CT-ND,0.09400,$7.90,1,,YAG2319CT-ND,20,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_12.pdf,,-,,Active,ROHS3 Compliant,EAR99,8533.21.0030,Taiwan,,YAG2319CT-ND,https://media.digikey.com/Renders/Yageo%20Renders/RT-Series-Chip-Resistor.jpg
23,CRCW0603470RFKEAC,Vishay Dale,RES 470 OHM 1% 1/10W 0603,"105,662",In Stock,,4,4,Cut Tape (CT),541-4038-1-ND,0.16000,$0.64,1,37544,35000,Tape & Reel (TR),541-4038-2-ND,0.00547,$191.45,5000,,541-4038-1-ND,26,https://www.vishay.com/docs/28773/crcwce3.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8533.21.0030,China,,541-4038-1-ND,https://media.digikey.com/Renders/Vishay%20Dale%20Renders/CRCW%200603%20%281608metric%29.jpg
23,CRCW0603470RFKEAC,Vishay Dale,RES 470 OHM 1% 1/10W 0603,,,,,,,,,,,,2544,Cut Tape (CT),541-4038-1-ND,0.00868,$22.08,1,,541-4038-1-ND,,,,,,,,,,,,,
24,CPF0603B39RE1,TE Connectivity Passive Product,RES SMD 39 OHM 0.1% 1/16W 0603,"20,858",In Stock,,1,1,Cut Tape (CT),A103095CT-ND,1.11000,$1.11,1,1795,1000,Tape & Reel (TR),A103095TR-ND,0.21952,$219.52,1000,,A103095CT-ND,29,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773200&DocType=DS&DocLang=English,,-,,Active,ROHS3 Compliant,EAR99,8533.21.0030,Taiwan,http://www.te.com/commerce/alt/SinglePartSearch.do?PN=2-1676481-2&dest=stmt,A103095CT-ND,https://media.digikey.com/Renders/TE%20Connectivity/0603.jpg
24,CPF0603B39RE1,TE Connectivity Passive Product,RES SMD 39 OHM 0.1% 1/16W 0603,,,,,,,,,,,,795,Cut Tape (CT),A103095CT-ND,0.40760,$324.04,1,,A103095CT-ND,,,,,,,,,,,,,
25,CRCW06032K20FKEAC,Vishay Dale,RES 2.2K OHM 1% 1/10W 0603,"242,384",In Stock,,2,2,Cut Tape (CT),541-4022-1-ND,0.16000,$0.32,1,4900,4900,Cut Tape (CT),541-4022-1-ND,0.00868,$42.53,1,,541-4022-1-ND,26,https://www.vishay.com/docs/28773/crcwce3.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8533.21.0030,China,,541-4022-1-ND,https://media.digikey.com/Renders/Vishay%20Dale%20Renders/CRCW%200603%20%281608metric%29.jpg
26,LB Q39G-L2OO-35-1,ams-OSRAM USA Inc.,LED BLUE DIFFUSED 0603 SMD,"14,732",In Stock,,2,2,Cut Tape (CT),475-2816-1-ND,0.58000,$1.16,1,34058,32000,Tape & Reel (TR),475-2816-2-ND,0.09801,"$3,136.32",4000,,475-2816-1-ND,14,https://media.digikey.com/pdf/Data%20Sheets/Osram%20PDFs/LB_Q39G_v1.4_9-1-15.pdf,,-,,Active,ROHS3 Compliant,EAR99,8541.41.0000,Taiwan,,475-2816-1-ND,https://media.digikey.com/Renders/Osram%20Opto%20Renders/LB-Q39E.jpg
26,LB Q39G-L2OO-35-1,ams-OSRAM USA Inc.,LED BLUE DIFFUSED 0603 SMD,,,,,,,,,,,,2058,Cut Tape (CT),475-2816-1-ND,0.13069,$268.96,1,,475-2816-1-ND,,,,,,,,,,,,,
27,CJS-1201TA,Nidec Copal Electronics,SWITCH SLIDE SPDT 100MA 6V,"9,904",In Stock,,3,3,Cut Tape (CT),563-1023-1-ND,1.67000,$5.01,1,17139,17000,Tape & Reel (TR),563-1023-2-ND,0.80420,"$13,671.40",1000,,563-1023-1-ND,42,https://www.nidec-copal-electronics.com/e/catalog/switch/cjs.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8536.50.9050,China,,563-1023-1-ND,https://media.digikey.com/photos/Copal%20Photos/CJS-1201TA.jpg
27,CJS-1201TA,Nidec Copal Electronics,SWITCH SLIDE SPDT 100MA 6V,,,,,,,,,,,,139,Cut Tape (CT),563-1023-1-ND,1.30530,$181.44,1,,563-1023-1-ND,,,,,,,,,,,,,
28,DF13A-7P-1.25H(76),Hirose Electric Co Ltd,CONN HEADER SMD R/A 7POS 1.25MM,0,Normally Stocking,,3,3,Tube,H126444-ND,1.76000,$5.28,1,97,97,Tube,H126444-ND,1.42278,$138.01,1,,H126444-ND,28,https://www.hirose.com/product/download/?distributor=digikey&type=specSheet&lang=en&num=DF13A-7P-1.25H(76),,-,,Active,RoHS Compliant,EAR99,8536.69.4040,Japan,,H126444-ND,https://media.digikey.com/photos/Hirose%20Elect%20Photos/DF13A-7P-1.25H(50).jpg
29,KMR631NG ULC LFS,C&K,SWITCH TACTILE SPST-NO 50MA 32V,"214,999",In Stock,,1,1,Cut Tape (CT),CKN10685CT-ND,0.75000,$0.75,1,,,,,,,,,CKN10685CT-ND,9,https://www.ckswitches.com/media/1907/kmr6.pdf,,-,,Active,ROHS3 Compliant,EAR99,8536.50.9031,France,,CKN10685CT-ND,https://media.digikey.com/Photos/CK%20Comp%20Photos/MFG_KMR6.jpg
